Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Luiz Araújo,br BRA,"FW,MF",28-142,23,15,1505.0,16.7,3.0,5.0,8.0,3.0,0.0,0.0,3.0,0.0,2.1,2.1,4.6,6.7,52.0,70.0,119.0,0.18,0.3,0.48,0.18,0.48,0.13,0.27,0.4,0.13,0.4,Matches,2024,brasileirao,24,Flamengo
Allan,br BRA,MF,27-233,22,15,1307.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.5,0.8,15.0,72.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,2024,brasileirao,24,Flamengo
Erick Pulgar,cl CHI,MF,30-281,16,14,1189.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.7,0.4,1.1,7.0,65.0,15.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.05,0.08,Matches,2024,brasileirao,24,Flamengo
Giorgian De Arrascaeta,uy URU,MF,30-143,14,10,917.0,10.2,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,1.6,1.6,2.4,4.1,18.0,74.0,80.0,0.39,0.49,0.88,0.39,0.88,0.16,0.24,0.4,0.16,0.4,Matches,2024,brasileirao,24,Flamengo
Nicolás De La Cruz,uy URU,MF,27-143,12,10,855.0,9.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,2.0,3.6,16.0,90.0,32.0,0.21,0.21,0.42,0.21,0.42,0.17,0.21,0.37,0.17,0.37,Matches,2024,brasileirao,24,Flamengo
Everton Soares,br BRA,FW,28-214,10,10,537.0,6.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.2,2.1,23.0,15.0,54.0,0.17,0.34,0.5,0.17,0.5,0.15,0.21,0.36,0.15,0.36,Matches,2024,brasileirao,24,Flamengo
Guillermo Varela,uy URU,DF,31-212,12,9,755.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.1,12.0,17.0,42.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.13,0.01,0.13,Matches,2024,brasileirao,24,Flamengo
Lorran,br BRA,"MF,FW",18-110,17,8,683.0,7.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9,2.9,31.0,39.0,61.0,0.13,0.13,0.26,0.13,0.26,0.26,0.12,0.39,0.26,0.39,Matches,2024,brasileirao,24,Flamengo
Matheus Gonçalves,br BRA,"FW,MF",19-065,9,5,436.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.6,1.2,21.0,33.0,59.0,0.21,0.0,0.21,0.21,0.21,0.12,0.13,0.25,0.12,0.25,Matches,2024,brasileirao,24,Flamengo
Carlinhos,br BRA,FW,27-253,13,5,423.0,4.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.4,2.4,0.1,2.6,6.0,1.0,21.0,0.43,0.0,0.43,0.43,0.43,0.52,0.03,0.55,0.52,0.55,Matches,2024,brasileirao,24,Flamengo
Gabriel Barbosa,br BRA,"FW,MF",28-053,15,4,558.0,6.2,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,2.2,0.7,2.9,14.0,20.0,31.0,0.32,0.16,0.48,0.16,0.32,0.49,0.11,0.6,0.36,0.47,Matches,2024,brasileirao,24,Flamengo
Matías Viña,uy URU,DF,26-348,9,4,422.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.8,7.0,15.0,37.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.18,0.05,0.18,Matches,2024,brasileirao,24,Flamengo
Carlos Alcaraz,ar ARG,MF,21-327,5,3,304.0,3.4,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.2,0.4,0.2,0.7,10.0,17.0,15.0,0.3,0.3,0.59,0.0,0.3,0.37,0.07,0.44,0.13,0.21,Matches,2024,brasileirao,24,Flamengo
Gonzalo Plata,ec ECU,"FW,MF",23-356,4,2,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,9.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0,0.35,0.22,0.57,0.35,0.57,Matches,2024,brasileirao,24,Flamengo
