Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,season,league_name,league_id,team_name
Lima,br BRA,DF,32.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 América (MG)
Lucas Luan,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 América (MG)
Marcio,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 América (MG)
Everton Morelli,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 América (MG)
Glauco Passos,br BRA,GK,22.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 América (MG)
Sabino,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 América (MG)
Squad Total,,,28.6,38,418,3420.0,38.0,30.0,21.0,51.0,27.0,3.0,4.0,89.0,8.0,0.79,0.55,1.34,0.71,1.26,,2018,brasileirao,24,2018 América (MG)
Opponent Total,,,27.0,38,418,3420.0,38.0,46.0,32.0,78.0,40.0,6.0,7.0,72.0,5.0,1.21,0.84,2.05,1.05,1.89,,2018,brasileirao,24,2018 América (MG)
Jeferson,br BRA,DF,21.0,30,28,2494.0,27.7,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.04,0.04,0.0,0.04,Matches,2018,brasileirao,24,2018 Vitória
Ramon Menezes Roma,br BRA,"DF,MF",22.0,28,25,2256.0,25.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2018,brasileirao,24,2018 Vitória
Neílton,br BRA,"MF,FW",23.0,32,24,2209.0,24.5,7.0,3.0,10.0,4.0,3.0,3.0,7.0,1.0,0.29,0.12,0.41,0.16,0.29,Matches,2018,brasileirao,24,2018 Vitória
Ronaldo,br BRA,GK,21.0,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Vitória
Aderlan Santos,br BRA,DF,28.0,20,19,1657.0,18.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2018,brasileirao,24,2018 Vitória
Yago,br BRA,MF,22.0,27,18,1549.0,17.2,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,0.12,0.12,0.23,0.0,0.12,Matches,2018,brasileirao,24,2018 Vitória
Rhayner,br BRA,MF,27.0,20,18,1495.0,16.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.06,0.06,0.12,0.06,0.12,Matches,2018,brasileirao,24,2018 Vitória
Rodrigo Andrade,br BRA,"MF,DF",20.0,22,18,1313.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Vitória
Willian Farias,br BRA,MF,28.0,21,17,1511.0,16.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2018,brasileirao,24,2018 Vitória
Lucas Ribeiro,br BRA,DF,19.0,16,16,1379.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Vitória
Leo Gomes,br BRA,MF,20.0,15,15,1317.0,14.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2018,brasileirao,24,2018 Vitória
