season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,José Campaña,es ESP,MF,21.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Angelo da Costa Júnior,br BRA,GK,30.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Michele Fornasier,it ITA,DF,20.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Alberto Frison,it ITA,GK,26.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Dávid Ivan,sk SVK,MF,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Karlo Lulić,hr CRO,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Samuele Massolo,it ITA,GK,18.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Bartosz Salamon,pl POL,"DF,MF",23.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Squad Total,,,26.2,38.0,418.0,3420.0,38.0,46.0,30.0,76.0,44.0,2.0,2.0,0.0,0.0,1.21,0.79,2.0,1.16,1.95,,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Opponent Total,,,27.5,38.0,418.0,3420.0,38.0,42.0,29.0,71.0,36.0,6.0,7.0,105.0,6.0,1.11,0.76,1.87,0.95,1.71,,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Samir Handanović,si SVN,GK,30.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Gary Medel,cl CHI,"DF,MF",26.0,35.0,34.0,2983.0,33.1,0.0,2.0,2.0,0.0,0.0,0.0,11.0,1.0,0.0,0.06,0.06,0.0,0.06,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Mauro Icardi,ar ARG,FW,21.0,36.0,33.0,2895.0,32.2,22.0,6.0,28.0,18.0,4.0,5.0,4.0,0.0,0.68,0.19,0.87,0.56,0.75,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Andrea Ranocchia,it ITA,DF,26.0,33.0,32.0,2849.0,31.7,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Juan Jesus,br BRA,DF,23.0,32.0,32.0,2847.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Rodrigo Palacio,ar ARG,"FW,MF",32.0,35.0,30.0,2627.0,29.2,8.0,5.0,13.0,8.0,0.0,1.0,3.0,0.0,0.27,0.17,0.45,0.27,0.45,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Mateo Kovačić,hr CRO,MF,20.0,35.0,26.0,2461.0,27.3,5.0,4.0,9.0,5.0,0.0,0.0,3.0,1.0,0.18,0.15,0.33,0.18,0.33,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Fredy Guarín,co COL,MF,28.0,28.0,25.0,2206.0,24.5,6.0,7.0,13.0,6.0,0.0,0.0,5.0,0.0,0.24,0.29,0.53,0.24,0.53,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Nemanja Vidić,rs SRB,DF,32.0,23.0,23.0,2049.0,22.8,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Danilo D'Ambrosio,it ITA,DF,25.0,23.0,19.0,1681.0,18.7,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Hernanes,br BRA,MF,29.0,26.0,17.0,1632.0,18.1,5.0,4.0,9.0,5.0,0.0,0.0,6.0,0.0,0.28,0.22,0.5,0.28,0.5,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Dodô,br BRA,DF,22.0,20.0,16.0,1375.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Marcelo Brozović,hr CRO,MF,21.0,15.0,13.0,1051.0,11.7,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.09,0.09,0.17,0.09,0.17,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Yuto Nagatomo,jp JPN,DF,27.0,14.0,11.0,894.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Zdravko Kuzmanović,rs SRB,MF,26.0,14.0,10.0,860.0,9.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Lukas Podolski,de GER,"FW,MF",29.0,17.0,8.0,832.0,9.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Xherdan Shaqiri,ch SUI,"FW,MF",22.0,15.0,8.0,747.0,8.3,1.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,0.12,0.24,0.36,0.0,0.24,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Hugo Campagnaro,ar ARG,DF,34.0,10.0,8.0,730.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Davide Santon,it ITA,DF,23.0,9.0,7.0,717.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
2014-2015,Joel Obi,ng NGA,MF,23.0,11.0,6.0,490.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches,serie_a,11,internazionale,d609edc0,,,,,,,,,,,,
