Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Lincoln,br BRA,"FW,MF",18.0,11,4,395.0,4.4,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,3.8,3.7,1.1,4.9,10.0,8.0,33.0,0.68,0.46,1.14,0.68,1.14,0.87,0.25,1.13,0.86,1.11,Matches,2019,brasileirao,24,2019 Flamengo
Lucas Silva,br BRA,"FW,MF",21.0,9,3,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.9,4.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.24,0.34,0.09,0.34,Matches,2019,brasileirao,24,2019 Flamengo
João Lucas,br BRA,DF,20.0,6,2,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Flamengo
Ronaldo,br BRA,MF,22.0,3,2,182.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.8,0.9,1.0,12.0,4.0,0.0,0.49,0.49,0.0,0.49,0.05,0.39,0.44,0.05,0.44,Matches,2019,brasileirao,24,2019 Flamengo
Hugo Moura,br BRA,MF,21.0,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.8,1.1,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.33,0.78,1.1,0.33,1.1,Matches,2019,brasileirao,24,2019 Flamengo
Dantas,br BRA,DF,20.0,1,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Flamengo
Vitor Gabriel,br BRA,FW,19.0,1,0,45.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.22,0.13,0.34,0.22,0.34,Matches,2019,brasileirao,24,2019 Flamengo
Rafael Santos,br BRA,DF,20.0,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2019,brasileirao,24,2019 Flamengo
Vinicius Souza,br BRA,MF,19.0,3,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Flamengo
Bill,br BRA,FW,19.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Flamengo
Gabriel Batista,br BRA,GK,20.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Flamengo
Juan,br BRA,FW,39.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Flamengo
Yago Darub,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019,brasileirao,24,2019 Flamengo
Klebinho,br BRA,"DF,MF",20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019,brasileirao,24,2019 Flamengo
Mosquito,br BRA,GK,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019,brasileirao,24,2019 Flamengo
João Pedro Pepê,br BRA,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019,brasileirao,24,2019 Flamengo
Yuri,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019,brasileirao,24,2019 Flamengo
