season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,xG,xGA,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2014-2015,2015-05-30,21:00,Coupe de France,Final,Sat,Away,W,1,0,Auxerre,,81000.0,,,Antony Gautier,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-07-31,19:00,Europa Lg,Third qualifying round,Thu,Away,W,4,1,cz Mladá Boleslav,,4800.0,,,Tobias Welz,Match Report,Leg 1 of 2,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-07,20:30,Europa Lg,Third qualifying round,Thu,Home,W,2,1,cz Mladá Boleslav,,22717.0,,,Stephan Klossner,Match Report,Leg 2 of 2; Lyon won,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-10,17:00,Ligue 1,Matchweek 1,Sun,Home,W,2,0,Rennes,56.0,27811.0,Maxime Gonalons,4-1-2-1-2◆,Benoît Millot,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-16,20:00,Ligue 1,Matchweek 2,Sat,Away,L,1,2,Toulouse,57.0,13275.0,Maxime Gonalons,4-1-2-1-2◆,Bartolomeu Varela,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-21,20:30,Europa Lg,Play-off round,Thu,Home,L,1,2,ro Astra Giurgiu,,20001.0,,,Carlos Clos Gómez,Match Report,Leg 1 of 2,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-24,14:00,Ligue 1,Matchweek 3,Sun,Home,L,0,1,Lens,59.0,24636.0,Maxime Gonalons,4-1-2-1-2◆,Lionel Jaffredo,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-28,19:45,Europa Lg,Play-off round,Thu,Away,W,1,0,ro Astra Giurgiu,,7200.0,,,Sergey Karasev,Match Report,Leg 2 of 2; Astra Giurgiu won,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-31,17:00,Ligue 1,Matchweek 4,Sun,Away,L,1,2,Metz,56.0,20173.0,Maxime Gonalons,4-3-3,Ruddy Buquet,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-12,20:30,Ligue 1,Matchweek 5,Fri,Home,W,2,1,Monaco,55.0,34099.0,Maxime Gonalons,4-1-2-1-2◆,Benoît Bastien,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-21,21:00,Ligue 1,Matchweek 6,Sun,Away,D,1,1,Paris S-G,38.0,45428.0,Maxime Gonalons,4-1-2-1-2◆,Ruddy Buquet,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-24,19:00,Ligue 1,Matchweek 7,Wed,Home,W,4,0,Lorient,53.0,32523.0,Maxime Gonalons,4-1-2-1-2◆,Sébastien Moreira,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-28,17:00,Ligue 1,Matchweek 8,Sun,Away,D,1,1,Nantes,52.0,26077.0,Maxime Gonalons,4-1-2-1-2◆,Nicolas Rainville,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-05,17:00,Ligue 1,Matchweek 9,Sun,Home,W,3,0,Lille,51.0,34349.0,Maxime Gonalons,4-1-2-1-2◆,Clément Turpin,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-19,21:00,Ligue 1,Matchweek 10,Sun,Home,W,5,1,Montpellier,56.0,35688.0,Maxime Gonalons,4-1-2-1-2◆,Bartolomeu Varela,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-26,21:00,Ligue 1,Matchweek 11,Sun,Home,W,1,0,Marseille,45.0,38712.0,Maxime Gonalons,4-1-2-1-2◆,Lionel Jaffredo,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-01,20:00,Ligue 1,Matchweek 12,Sat,Away,W,3,1,Nice,57.0,15677.0,Alexandre Lacazette,4-1-2-1-2◆,Amaury Delerue,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-09,14:00,Ligue 1,Matchweek 13,Sun,Home,W,3,1,Guingamp,62.0,36461.0,Maxime Gonalons,4-1-2-1-2◆,Benoît Millot,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-22,17:00,Ligue 1,Matchweek 14,Sat,Away,D,0,0,Bastia,60.0,12349.0,Maxime Gonalons,4-1-2-1-2◆,Benoît Bastien,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-30,21:00,Ligue 1,Matchweek 15,Sun,Away,L,0,3,Saint-Étienne,60.0,36004.0,Maxime Gonalons,4-1-2-1-2◆,Clément Turpin,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-04,21:00,Ligue 1,Matchweek 16,Thu,Home,W,2,1,Reims,54.0,32513.0,Maxime Gonalons,4-1-2-1-2◆,Saïd Ennjimi,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-07,14:00,Ligue 1,Matchweek 17,Sun,Away,W,3,2,Evian,67.0,13064.0,Maxime Gonalons,4-1-2-1-2◆,Tony Chapron,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-12,20:30,Ligue 1,Matchweek 18,Fri,Home,W,3,0,Caen,67.0,32972.0,Maxime Gonalons,4-1-2-1-2◆,Bartolomeu Varela,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-21,21:00,Ligue 1,Matchweek 19,Sun,Away,W,5,0,Bordeaux,53.0,31873.0,Maxime Gonalons,4-1-2-1-2◆,Ruddy Buquet,Match Report,,ligue_1,13,lyon,d53c0b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
