season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Karl Madianga,fr FRA,MF,20.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Jessy Moulin,fr FRA,GK,28.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Jérrold Nyemeck,fr FRA,DF,20.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Dylan Saint-Louis,cg CGO,"FW,MF",19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Ćazim Suljić,ba BIH,FW,17.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Baptiste Valette,fr FRA,GK,21.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Squad Total,,,27.1,38.0,418.0,3420.0,38.0,50.0,33.0,83.0,45.0,5.0,7.0,,,1.32,0.87,2.18,1.18,2.05,,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Opponent Total,,,26.3,38.0,418.0,3420.0,38.0,28.0,14.0,42.0,24.0,4.0,6.0,75.0,7.0,0.74,0.37,1.11,0.63,1.0,,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Cédric Carrasso,fr FRA,GK,32.0,37.0,37.0,3251.0,36.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Nicolas Pallois,fr FRA,DF,26.0,33.0,33.0,2926.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Jaroslav Plašil,cz CZE,MF,32.0,34.0,31.0,2816.0,31.3,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.1,0.1,0.0,0.1,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Mariano,br BRA,"DF,MF",28.0,31.0,31.0,2776.0,30.8,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Wahbi Khazri,tn TUN,"FW,MF",23.0,32.0,29.0,2362.0,26.2,9.0,5.0,14.0,7.0,2.0,2.0,8.0,0.0,0.34,0.19,0.53,0.27,0.46,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Diego Rolán,uy URU,"FW,MF",21.0,36.0,28.0,2476.0,27.5,15.0,3.0,18.0,12.0,3.0,3.0,2.0,0.0,0.55,0.11,0.65,0.44,0.55,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
